"","country","food_category","consumption","co2_emmission"
"212","Hong Kong SAR. China","Beef",25.82,796.75
"213","Hong Kong SAR. China","Lamb & Goat",2.22,77.74
"214","Hong Kong SAR. China","Fish",42.44,67.76
"215","Hong Kong SAR. China","Eggs",14.5,13.32
"216","Hong Kong SAR. China","Milk - inc. cheese",105.85,150.77
"217","Hong Kong SAR. China","Wheat and Wheat Products",53.14,10.13
"218","Hong Kong SAR. China","Rice",43.48,55.64
"219","Hong Kong SAR. China","Soybeans",2.79,1.26
"220","Hong Kong SAR. China","Nuts inc. Peanut Butter",13.81,24.44
"221","French Polynesia","Pork",14.75,52.21
"222","French Polynesia","Poultry",49.55,53.23
"223","French Polynesia","Beef",30.9,953.51
"224","French Polynesia","Lamb & Goat",2.83,99.11
"225","French Polynesia","Fish",38.95,62.19
"226","French Polynesia","Eggs",8.75,8.04
"227","French Polynesia","Milk - inc. cheese",93.56,133.27
"228","French Polynesia","Wheat and Wheat Products",68.67,13.1
"229","French Polynesia","Rice",35.59,45.54
"230","French Polynesia","Soybeans",0.77,0.35
"231","French Polynesia","Nuts inc. Peanut Butter",2.34,4.14
"232","Israel","Pork",1.99,7.04
"233","Israel","Poultry",62.5,67.14
"234","Israel","Beef",28.78,888.09
"235","Israel","Lamb & Goat",1.87,65.49
"236","Israel","Fish",22.18,35.41
"237","Israel","Eggs",11.35,10.43
"238","Israel","Milk - inc. cheese",193.6,275.76
"239","Israel","Wheat and Wheat Products",110.86,21.14
"240","Israel","Rice",16.81,21.51
"241","Israel","Soybeans",0.1,0.05
"242","Israel","Nuts inc. Peanut Butter",7.71,13.65
"243","Switzerland","Pork",31.49,111.46
"244","Switzerland","Poultry",16.38,17.6
"245","Switzerland","Beef",21.26,656.04
"246","Switzerland","Lamb & Goat",1.42,49.73
"247","Switzerland","Fish",13.48,21.52
"248","Switzerland","Eggs",10.53,9.67
"249","Switzerland","Milk - inc. cheese",318.69,453.94
"250","Switzerland","Wheat and Wheat Products",89.51,17.07
"251","Switzerland","Rice",2.43,3.11
"252","Switzerland","Soybeans",0.44,0.2
"253","Switzerland","Nuts inc. Peanut Butter",9.27,16.41
"254","Netherlands","Pork",36.36,128.7
"255","Netherlands","Poultry",23.9,25.67
"256","Netherlands","Beef",17.67,545.26
"257","Netherlands","Lamb & Goat",0.94,32.92
"258","Netherlands","Fish",18.64,29.76
"259","Netherlands","Eggs",14.03,12.89
"260","Netherlands","Milk - inc. cheese",341.47,486.39
"261","Netherlands","Wheat and Wheat Products",70.17,13.38
"262","Netherlands","Rice",2.93,3.75
"263","Netherlands","Soybeans",0.12,0.05
"264","Netherlands","Nuts inc. Peanut Butter",7.94,14.05
"265","Kuwait","Pork",0,0
"266","Kuwait","Poultry",53.61,57.59
"267","Kuwait","Beef",13.03,402.08
"268","Kuwait","Lamb & Goat",15.61,546.66
"269","Kuwait","Fish",11.99,19.14
"270","Kuwait","Eggs",12.6,11.57
"271","Kuwait","Milk - inc. cheese",157.66,224.57
"272","Kuwait","Wheat and Wheat Products",96.76,18.45
"273","Kuwait","Rice",43.83,56.09
"274","Kuwait","Soybeans",0.06,0.03
"275","Kuwait","Nuts inc. Peanut Butter",5.23,9.26
